2017-06-13 15:36:14.328 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\Planning\App_Data\' with level Info
2017-06-13 15:36:14.567 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-13 15:36:14.623 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CUBICTELECOM\ArminA" /add
2017-06-13 15:36:15.342 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 15:36:15.363 WARN  NServiceBus.QueuePermissions Queue [private$\Planning.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 15:36:15.376 WARN  NServiceBus.QueuePermissions Queue [private$\Planning.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 15:36:15.391 WARN  NServiceBus.QueuePermissions Queue [private$\Planning.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 15:36:15.402 WARN  NServiceBus.QueuePermissions Queue [private$\Planning] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-13 15:36:15.413 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 15:36:15.416 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 15:36:15.418 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-13 15:37:24.719 INFO  Planning.Handlers.StartPlanningHandler Received StartPlanningCommand, PlanId = 92c39b18-621d-4e20-baa2-8e0d884bdb92, Planning Started
