2017-06-14 09:48:52.641 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\Stock\App_Data\' with level Info
2017-06-14 09:48:52.908 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 09:48:53.014 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 09:48:53.639 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:53.650 WARN  NServiceBus.QueuePermissions Queue [private$\Stock.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:53.658 WARN  NServiceBus.QueuePermissions Queue [private$\Stock.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:53.671 WARN  NServiceBus.QueuePermissions Queue [private$\Stock.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:53.683 WARN  NServiceBus.QueuePermissions Queue [private$\Stock] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:48:53.692 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:48:53.694 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:48:53.697 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:49:17.187 INFO  Stock.Handlers.CheckStockHandler Checking Stock for PlanId = c14de739-be20-4e5b-a033-4cb1cc683d53
2017-06-14 11:11:50.445 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\Stock\App_Data\' with level Info
